,genres,numVotes,occurrence,averageVotes
0,Documentary,81736047.0,610332,133.92063172175145
2,Comedy,244971186.0,1331846,183.93356739442848
1,Short,131981245.0,859168,153.61517770680473
3,Horror,20932107.0,114161,183.356023510656
4,Drama,315735269.0,1720450,183.51900316777588
5,Action,63009345.0,266805,236.1625344352617
6,Fantasy,22131349.0,132311,167.26764214615565
7,Animation,44684482.0,317108,140.91250299582475
8,Western,22138816.0,26533,834.3879696981118
9,Family,69066062.0,437852,157.73837278349762
10,Adventure,56569707.0,238051,237.6369223401708
11,Musical,12131650.0,48544,249.91039057350034
12,Crime,83745462.0,270914,309.121942756742
13,Mystery,25870660.0,128316,201.6167898001808
14,Music,45537298.0,293856,154.9646697702276
15,History,11667120.0,87015,134.0817100499914
16,War,14492661.0,25241,574.1714274394834
17,Thriller,23686444.0,112434,210.66976181582083
18,Sci-Fi,20090243.0,85237,235.69861679786948
19,Biography,11622756.0,72634,160.0181182366385
20,Romance,70651559.0,587697,120.2176614820222
21,Sport,13605021.0,135177,100.64597527685923
22,Film-Noir,1953775.0,783,2495.242656449553
23,News,16292616.0,404281,40.30022682243291
24,Reality-TV,7509334.0,323744,23.19528392804191
25,Adult,38096749.0,184251,206.7654938100743
26,Talk-Show,43387091.0,593339,73.12361230257913
27,Game-Show,15179758.0,206955,73.34810949240173
