,startYear,numVotes
132,1888,125.5
134,1889,6.0
2,1893,970.0
0,1894,233.06060606060606
3,1895,529.7692307692307
4,1896,2932.0065789473683
6,1897,1850.8793969849246
5,1898,1399.8623326959846
8,1899,1463.4529147982062
7,1900,297.28694581280786
9,1901,798.0357917570499
12,1902,703.5143843498274
11,1903,427.8478924862553
10,1904,1382.6069114470843
13,1905,566.9540983606557
16,1906,989.5029585798817
15,1907,594.2348623853211
17,1908,919.2664941785252
19,1909,204.022131147541
18,1910,364.28386734120295
21,1911,845.3646490902339
14,1912,644.6939351198872
22,1913,802.5288836846214
20,1914,1020.4037022449784
23,1915,507.8113033873343
25,1916,506.9703914013385
26,1917,897.10421108742
27,1918,917.3080693815988
24,1919,554.6730552423901
30,1920,550.6528141361257
32,1921,659.7112195121952
31,1922,545.7745022970904
33,1923,1305.2294296909013
34,1924,1093.4911894273127
29,1925,1011.3279179136383
36,1926,990.269702970297
37,1927,743.1735636801928
35,1928,1175.1233461374306
38,1929,1380.1942281264314
41,1930,973.4055975122168
45,1931,712.5176366843034
46,1932,1458.909090909091
43,1933,1039.072767857143
44,1934,1613.0289219982471
40,1935,1506.251592356688
28,1936,857.6520526106018
48,1937,1260.1155679110404
50,1938,2199.851775392238
47,1939,1437.7316628701594
55,1940,1563.631364562118
60,1941,988.1746031746031
42,1942,1745.0303797468355
64,1943,983.1855611957135
56,1944,2014.0909638554217
52,1945,1555.0798479087453
54,1946,937.3085780080598
58,1947,1451.0316957210778
65,1948,1554.3426222019186
57,1949,1196.474964234621
49,1950,1349.2934497816593
51,1951,1366.2965838509317
61,1952,801.4470404984423
68,1953,1136.153300492611
69,1954,1502.8916331610185
74,1955,1278.9497611596112
76,1956,1151.1880397588397
63,1957,1227.2180312787489
59,1958,1146.8937338008843
66,1959,1172.017304964539
77,1960,921.7926600589338
72,1961,1145.4567853457172
75,1962,1121.2634439359267
81,1963,1223.8923665203229
78,1964,1026.4401852328274
70,1965,1036.1146048318562
86,1966,1101.165169162507
79,1967,1334.7256781784508
80,1968,1293.6270383428823
82,1969,1396.1971472799646
62,1970,1241.399915047255
84,1971,1058.152162132871
85,1972,1196.8122125114996
71,1973,1608.0920976512784
92,1974,1699.5802527459548
95,1975,1438.2597025331165
88,1976,1290.6312649164677
97,1977,1625.185013988566
96,1978,1748.4824342026914
91,1979,1593.162728746815
100,1980,1747.5519804855385
93,1981,1725.7189979596462
104,1982,1528.1159898756466
53,1983,1776.0865739734954
103,1984,1926.1512333198543
83,1985,2777.842222635198
90,1986,1370.6561627802287
106,1987,976.6441317776253
94,1988,876.9944429506139
98,1989,981.9456411851621
89,1990,1132.087679293858
105,1991,779.5807964218727
87,1992,843.2468974974289
39,1993,778.632148474363
107,1994,950.6178347611108
73,1995,1039.6677230232926
116,1996,835.6925386356925
114,1997,844.0619787551576
111,1998,686.1421154310553
109,1999,1059.0911650305611
118,2000,740.5054034457756
67,2001,551.3166899549759
113,2002,621.2448841915898
122,2003,757.2937586554938
115,2004,780.0745705261536
110,2005,656.7477962049903
124,2006,444.2666762255253
123,2007,323.49980027960856
121,2008,370.94567062818334
120,2009,638.7004538577912
101,2010,117.6235541535226
127,2011,239.01438848920864
126,2012,115.28521126760563
119,2013,115.46088193456615
112,2014,97.35457516339869
128,2015,105.7008797653959
125,2016,137.99447077409164
117,2017,113.50436205016358
102,2018,121.30094582975065
108,2019,130.23592212685787
131,2020,104.81176470588235
130,2021,39.333333333333336
135,2022,7.0
99,\N,740.4914667008854
