,year,documentary,film-noir,short,comedy,drama,romance,talkshow
0,1895,349.7358490566038,0,296.8534482758621,638.125,414.1666666666667,0,0
1,1896,2214.597222222222,0,1593.5578069129917,60.475,377.3,1419.0,0
2,1897,748.2245398773006,0,1089.5218356772762,2096.522123893805,787.7916666666666,39.0,0
3,1898,900.1934084995663,0,833.310818546079,396.3821989528796,47.34285714285714,34.333333333333336,0
4,1899,487.5728987993139,0,729.5036373810856,160.56218905472636,82.77777777777777,629.75,0
5,1900,50.919521912350596,0,132.0,151.23706896551724,810.3636363636364,10.0,0
6,1901,129.72434456928838,0,418.89053591790196,182.1840490797546,901.675,18.333333333333332,0
7,1902,429.6845238095238,0,339.52918287937746,185.35652173913044,174.375,0,0
8,1903,285.3278588807786,0,262.92076605332335,231.6853146853147,484.55645161290323,642.5,0
9,1904,48.28816986855409,0,350.4118291347207,303.6889534883721,45.91860465116279,0.0,0
10,1905,13.702290076335878,0,100.6952380952381,98.86648501362397,1044.3243243243244,9.666666666666666,0
11,1906,85.9869706840391,0,271.7935200439319,244.7002457002457,54.87837837837838,33.0,0
12,1907,23.338064516129034,0,131.27427874847623,143.77489768076398,63.586319218241044,20.1,0
13,1908,7.297581493165089,0,166.45619406500236,191.0496323529412,27.210850801479655,423.82142857142856,0
14,1909,54.95424836601307,0,43.928866366366364,27.29727740986019,43.835433070866145,50.90243902439025,0
15,1910,17.296596434359806,0,101.44200127469726,208.33251079580506,56.07882623705409,136.35625,0
16,1911,70.50825082508251,0,297.60978536195177,599.667517875383,257.90694507489786,1518.6949152542372,0
17,1912,8.037948717948717,0,263.1182187230902,424.4077519379845,280.14300237207726,1011.4227848101266,0
18,1913,9.192651439920557,0,443.03510149153306,680.4649298597194,481.2689715792558,1013.9882005899705,0
19,1914,135.2701688555347,0,550.6845919145691,538.5527704485488,591.5708308427974,105.18145161290323,0
20,1915,57.48473967684021,0,290.6884958339424,264.22969496508637,509.35833849969003,539.096618357488,0
21,1916,44.677358490566036,0,310.5644634842921,436.1009463722398,354.23845076994866,129.49367088607596,0.0
22,1917,108.06802721088435,0,596.6259994077584,523.7820048309179,1220.459218642906,298.9,0
23,1918,157.0112721417069,0,304.8753564154786,276.5362802335279,1028.3523639607492,760.8692810457517,0
24,1919,95.6682808716707,0,223.79855247285886,264.1506976744186,499.86046511627904,569.5436241610738,0
25,1920,714.1979434447301,0,394.8198247535597,331.3084772370487,507.9189485213582,290.8061224489796,0
26,1921,225.28116710875332,0,666.202762084118,751.824297188755,627.6217331499312,171.34883720930233,0
