,year,documentary,film-noir,short,comedy,drama,romance,talkshow
0,1895,18536.0,0,34435.0,5105.0,2485.0,0,0
1,1896,1275608.0,0,1336995.0,2419.0,3773.0,1419.0,0
2,1897,609803.0,0,1471944.0,236907.0,18907.0,39.0,0
3,1898,1037923.0,0,1455794.0,75709.0,1657.0,103.0,0
4,1899,568510.0,0,1303623.0,32273.0,5215.0,2519.0,0
5,1900,63904.0,0,240636.0,35087.0,53484.0,10.0,0
6,1901,173182.0,0,734734.0,29696.0,36067.0,55.0,0
7,1902,505309.0,0,610813.0,42632.0,5580.0,0,0
8,1903,469079.0,0,700158.0,99393.0,60085.0,5140.0,0
9,1904,47757.0,0,639852.0,104469.0,3949.0,0.0,0
10,1905,12565.0,0,169168.0,36284.0,115920.0,29.0,0
11,1906,79194.0,0,494936.0,99593.0,8122.0,165.0,0
12,1907,18087.0,0,323066.0,105387.0,19521.0,201.0,0
13,1908,6940.0,0,706773.0,207862.0,22068.0,11867.0,0
14,1909,58856.0,0,234053.0,37097.0,55671.0,2087.0,0
15,1910,21344.0,0,636650.0,337707.0,97465.0,21817.0,0
16,1911,106820.0,0,2232371.0,1174149.0,568169.0,358412.0,0
17,1912,7837.0,0,2138888.0,1094972.0,826702.0,399512.0,0
18,1913,9257.0,0,3950544.0,2037312.0,1642571.0,343742.0,0
19,1914,72099.0,0,4331685.0,1632892.0,1979396.0,26085.0,0
20,1915,32019.0,0,1988600.0,718969.0,1643190.0,111593.0,0
21,1916,23679.0,0,1522387.0,967708.0,759133.0,20460.0,0.0
22,1917,63544.0,0,2014806.0,867383.0,1780650.0,35868.0,0
23,1918,97504.0,0,748469.0,331567.0,1152783.0,116413.0,0
24,1919,39511.0,0,371058.0,283962.0,515856.0,84862.0,0
25,1920,277823.0,0,720941.0,422087.0,463730.0,28499.0,0
26,1921,84931.0,0,1061261.0,748817.0,456281.0,22104.0,0
27,1922,37854.0,0,533944.0,256259.0,207351.0,58763.0,0
28,1923,26887.0,0,777665.0,834073.0,1236159.0,76882.0,0
29,1924,10976.0,0,504377.0,699119.0,408340.0,425349.0,0
30,1925,19366.0,0,721229.0,868947.0,607543.0,67327.0,0
31,1926,241207.0,0,1009679.0,1045663.0,231597.0,93719.0,0
32,1927,45945.0,10.0,480495.0,509642.0,564359.0,233374.0,0
33,1928,237201.0,2674.0,962546.0,760327.0,315675.0,114038.0,0
34,1929,16023.0,119.0,1512491.0,1529877.0,400789.0,183589.0,0
35,1930,71885.0,824.0,1122061.0,297997.0,442429.0,258674.0,0
36,1931,112919.0,1049.0,470820.0,633156.0,375743.0,115425.0,0.0
37,1932,367018.0,2453.0,492336.0,733568.0,1451562.0,1389007.0,0
38,1933,156046.0,815.0,510645.0,1050536.0,439334.0,336881.0,0
39,1934,24945.0,29.0,1607910.0,333963.0,828430.0,123817.0,0
40,1935,85244.0,2860.0,981543.0,1362777.0,846817.0,909347.0,0
41,1936,277494.0,4889.0,370117.0,592349.0,681012.0,342631.0,0.0
42,1937,1206631.0,14683.0,1397337.0,858991.0,547781.0,276125.0,0.0
43,1938,225634.0,4420.0,1733058.0,1173218.0,1824423.0,640683.0,0.0
44,1939,317443.0,5863.0,478295.0,814043.0,809169.0,154940.0,0.0
45,1940,614777.0,675.0,983396.0,924154.0,550019.0,240123.0,0
46,1941,91989.0,8139.0,514079.0,598907.0,498146.0,170546.0,0
47,1942,75773.0,50965.0,249600.0,1272691.0,1508701.0,684653.0,0
48,1943,106347.0,1871.0,213942.0,778082.0,346730.0,277130.0,0
49,1944,109419.0,36548.0,2020655.0,356754.0,464290.0,122175.0,0
50,1945,66871.0,243169.0,301293.0,531422.0,1285617.0,850730.0,0
51,1946,107894.0,62674.0,327138.0,296022.0,619417.0,142095.0,0.0
52,1947,72768.0,137144.0,394653.0,479792.0,1574493.0,148637.0,135.0
53,1948,873018.0,63758.0,1641554.0,503879.0,703133.0,350942.0,2045.0
