,year,Drama-Movies,Comedy-tvEpisodes,Documentary-Movies
0,1895,0,0,0
1,1896,0,0,0
2,1897,0,0,20.5
3,1898,0,0,642.125
4,1899,0,0,104.5
5,1900,273.0,0,27.0
6,1901,0,0,22.375
7,1902,0,0,21.0
8,1903,18.0,0,51.0
9,1904,0,0,36.0
10,1905,0,0,49.55555555555556
11,1906,107.5,0,13.0
12,1907,27.666666666666668,0,79.5
13,1908,85.0,0,37.0
14,1909,51.4,0,150.9375
15,1910,31.636363636363637,0,120.16
16,1911,106.54545454545455,0,29.125
17,1912,138.25862068965517,0,41.785714285714285
18,1913,173.92248062015503,0,109.73684210526316
19,1914,596.407196969697,0,813.0877192982456
20,1915,656.6831550802139,0,429.140625
21,1916,494.17534246575343,0,174.86363636363637
22,1917,633.5870786516854,0,1795.7916666666667
23,1918,1089.8680203045685,0,95.36619718309859
24,1919,522.7197125256673,0,337.93055555555554
25,1920,528.036488027366,0,731.8169014084507
26,1921,592.2825040128411,0,330.1666666666667
27,1922,316.9816053511706,0,142.35416666666666
28,1923,1519.7093862815884,0,99.73809523809524
29,1924,719.2113676731794,0,30.975
30,1925,953.8325434439179,0,170.11363636363637
31,1926,229.04381443298968,0,2765.214285714286
32,1927,660.2703659976387,0,324.5344827586207
33,1928,349.48931383577053,0,384.3482142857143
34,1929,473.34352078239607,0,122.14851485148515
35,1930,588.6770691994573,0,471.24615384615385
36,1931,435.24441833137485,0,1405.76
37,1932,1823.3413098236776,0,1385.4262295081967
38,1933,580.7175066312998,0,640.3021276595745
39,1934,1080.0535248041776,0.0,150.0581395348837
40,1935,1091.196129032258,0.0,258.1142857142857
41,1936,815.7789855072464,0.0,567.491304347826
42,1937,631.1590106007067,0.0,463.86341463414635
43,1938,2016.740606060606,0.0,187.13636363636363
44,1939,1018.590377113134,0.0,3238.7386363636365
45,1940,791.3512336719884,0,630.5862068965517
46,1941,884.5321428571428,0.0,219.69230769230768
47,1942,2681.5,0.0,405.30555555555554
48,1943,663.6592741935484,0,1066.9333333333334
49,1944,1029.5493273542602,0,402.2093023255814
50,1945,2701.1936218678816,0.0,89.04838709677419
51,1946,1058.7597173144877,59.32786885245902,145.81666666666666
52,1947,2438.702325581395,0.0,161.1578947368421
53,1948,881.5398230088496,4.876106194690266,489.078125
54,1949,1265.5279583875163,123.94513715710723,809.609756097561
55,1950,1089.516414141414,58.910547396528706,246.83221476510067
56,1951,1723.0372093023257,308.24974721941356,876.6206896551724
57,1952,1165.805988023952,482.9169847328244,255.08588957055215
58,1953,2565.4251152073734,343.2512755102041,508.62666666666667
59,1954,2117.302935010482,581.120522749274,151.92857142857142
60,1955,1965.3563714902807,170.01857010213556,419.50925925925924
61,1956,2281.4945598417407,214.80580580580582,445.56363636363636
62,1957,1194.0374429223743,196.06071076011847,8921.5
63,1958,779.1891143911439,290.8817644383811,7844.598130841122
64,1959,3952.7973484848485,326.5092970521542,227.2549019607843
65,1960,1710.9385425812115,126.164809834806,1378.357142857143
66,1961,992.2154255319149,875.7508090614887,1384.764705882353
67,1962,1166.1552471812663,461.76378240233663,209.125
68,1963,1905.52313503305,351.6814639105388,428.92
69,1964,2037.7943585077344,314.28977272727275,173.56221198156683
70,1965,1203.301131418625,229.5242613174302,707.3469387755102
71,1966,907.0616966580977,352.08688196627605,381.7077922077922
72,1967,1919.9061224489797,374.46495263870094,235.97633136094674
73,1968,1098.9949164851125,336.67621207825346,614.3620689655172
74,1969,1830.5035924232527,230.88973290860082,2299.733644859813
75,1970,1221.530570652174,275.5708044204575,2081.222222222222
76,1971,1815.3142037302725,265.98107569721117,1974.1152542372881
77,1972,1485.3983976693373,261.2196032672112,413.1078066914498
78,1973,3767.658909090909,416.25156315131306,326.77338129496405
79,1974,1853.0153172866521,202.45251641137855,1802.1471571906354
80,1975,1904.1141304347825,192.26810954063603,1612.1652661064427
81,1976,1723.000762195122,133.04059781396387,1318.219435736677
82,1977,1684.6067588325652,380.67995365005794,1241.9595375722542
83,1978,1596.5212609970674,498.9217677738128,1785.0449101796407
84,1979,2490.27676620539,246.97282754909872,1549.0402476780187
85,1980,2633.5413966882647,208.9982354423998,1062.8860103626944
86,1981,2231.4642599277977,431.71939736346513,2696.887931034483
87,1982,2997.851585014409,243.8474804031355,658.4071856287425
88,1983,2181.412786657401,253.9567119502648,1518.9786666666666
89,1984,2675.5193637621023,623.0321111909897,1990.286089238845
90,1985,5539.959394356504,254.63701979045402,2554.329842931937
91,1986,1470.7142857142858,237.26552152317882,344.66285714285715
92,1987,487.34654088050314,471.59491023182846,734.2613981762918
93,1988,922.2539267015707,253.1214953271028,1098.1526717557251
94,1989,624.8253333333333,367.51639947051035,385.4025641025641
95,1990,1069.5766574585634,433.5282012195122,1099.3740831295843
96,1991,1040.8244897959185,232.17523364485982,432.83660130718954
97,1992,1366.6384558277655,238.81093979441997,461.766
98,1993,174.07308248914617,147.3791134989926,3066.480769230769
99,1994,892.6415094339623,245.875752935171,443.1256544502618
100,1995,666.2288196958725,135.83456727087056,317.0464344941957
101,1996,577.965693430657,313.55212670422077,798.0275080906149
102,1997,1049.7354497354497,334.58811209013436,856.701044386423
103,1998,441.1207697412077,237.79008275583664,215.52496798975673
104,1999,807.1475409836065,329.7137445887446,1730.317857142857
105,2000,648.2393521295741,293.6333051206094,387.44081632653064
106,2001,760.1495071193866,230.33179602055606,83.33180147058823
107,2002,140.34833164812943,289.8322806156865,548.6410466067048
108,2003,101.48690835850957,316.3476468950153,282.91590106007067
109,2004,365.24571163653223,441.1926628400299,695.1454138702461
110,2005,1134.6767470371883,367.5267737925319,397.0353510895884
111,2006,525.6618541033434,181.57075362986862,243.60026857654432
112,2007,212.81892857142856,29.907882071940396,54.2840142800476
113,2008,61.22530383296977,1.1542081571409084,11.490834386852086
114,2009,137.63008758371973,5.8754643141416825,0.9992299794661191
115,2010,3.680590814678052,0.5045134472810745,1.2899796426147931
116,2011,2.5251593056471107,0.13703165991696595,0.060662914321450906
117,2012,0.5242135761589404,0.2478690835407352,0.18020594965675057
118,2013,0.24297151368460249,0.4622256556532763,2.140288410183372
119,2014,0.22978339350180504,0.19742997238347518,0.09482615205456663
120,2015,0.07681211684096646,0.3543895673475269,0.0009876543209876543
121,2016,0.5470995210218201,0.28304392236976506,0.014372039849746856
122,2017,0.287598944591029,0.47134330940230085,0.0318686624818928
123,2018,2.2062686044475575,0.388684371124279,0.4721865246924913
124,2019,1.0204852824184567,2.926512809187279,2.754135338345865
125,2020,0.5563380281690141,0.05819730305180979,0.054307116104868915
126,2021,0.04132231404958678,0.0,0.0
